id,effect_id,author,pub_year,pub_type,peer_review,n,yi,vi,adapt_measures,adapt_method,adapt_method_specific,subj_adapt_definition,cog_abil_measure,ca_measure,financ_support,sex,men_prop,country,sample,task,complexity_component,complexity_coordinative
41,118,Holladay,2003,1,1,82,0.12,0.011992683,3,2,3,,Wonderlic Personnel Test,General,0,3,43.9,USA,1,Simulation/video game,1,1
44,127,Frank,2017,1,1,33,0.385,0.02267252,3,2,3,,Wonderlic Personnel Test,General,1,3,69.7,Germany,1,Simulation/video game,1,1
9.2,12,Beuing,2009,8,0,207,0.24,0.004311251,1,1,1,narrow,IST-2000-R,General,0,3,23.3,Germany,1,,NA,NA
9.2,13,Beuing,2009,8,0,207,0.01,0.004853398,1,1,1,narrow,IST-2000-R,General,0,3,23.3,Germany,1,,NA,NA
10,14,Beuing,2009,8,0,70,0.09,0.014258922,4(1+3),1,1,narrow,IST-2000-R,General,0,3,15.71,Germany,1,,NA,NA
10,15,Beuing,2009,8,0,70,0.29,0.012157577,4(1+3),1,1,narrow,IST-2000-R,General,0,3,15.71,Germany,1,,NA,NA
10,16,Beuing,2009,8,0,70,0.36,0.010979654,4(1+3),2,3,,IST-2000-R,General,0,3,15.71,Germany,1,Simulation/video game,1,0
12,19,Chan,2002,1,1,160,-0.02,0.006284278,3,2,3,,Graduate and Managerial Assessment Verbal (GMA V),General,0,3,28,Singapur,2,SJT,1,NA
17,37,Wheeler,2012,3,0,132,0.23,0.006847316,3,2,3,,Graduate and Managerial Assessment Verbal (GMA V),General,0,3,42.42,USA,1,Simulation/video game,1,1
17,40,Wheeler,2012,3,0,132,-0.36,0.005783177,3,2,3,,Graduate and Managerial Assessment Verbal (GMA V),General,0,3,42.42,USA,1,Simulation/video game,1,1
19,42,Morgan,2013,1,1,32,0.645,0.011000865,3,2,3,,Working memory,General,1,NA,NA,USA,4,Simulation/video game,1,1
19,45,Morgan,2013,1,1,32,0.394,0.023020201,3,2,3,,Working memory,General,1,NA,NA,USA,4,Simulation/video game,1,1
19,48,Morgan,2013,1,1,32,0.203,0.029654199,3,2,3,,Working memory,General,1,NA,NA,USA,4,Simulation/video game,1,1
19,51,Morgan,2013,1,1,32,0.356,0.024599678,3,2,3,,Working memory,General,1,NA,NA,USA,4,Simulation/video game,1,1
3,5,Pulakos,2002,1,1,327,0.142,0.002945026,2,1,2,narrow,Armed Forces Qualifying Test (AFQT),General,1,3,83,USA,2,,NA,NA
31,99,Grim,2010,4,0,100,0.045,0.010060142,4(1+2+3),1,2,narrow,Armed Services Vocational Aptitude Battery (ASVAB),General,0,2,100,USA,2,,NA,NA
31,100,Grim,2010,4,0,100,-0.007,0.01010002,4(1+2+3),1,1,broad,Armed Services Vocational Aptitude Battery (ASVAB),General,0,2,100,USA,2,,NA,NA
31,101,Grim,2010,4,0,100,0.019,0.010093718,4(1+2+3),2,3,,Armed Services Vocational Aptitude Battery (ASVAB),General,0,2,100,USA,2,SJT,1,1
